campaign_id,targeted_accounts,paying_accounts,total_recovered,conversion_rate_pct,avg_recovery_per_target,avg_recovery_per_payer
CMP0000096,383,212,23537524.59,55.35248041775457,61455.67778067885,111026.05938679245
CMP0000075,359,194,23515362.81,54.038997214484674,65502.403370473534,121213.21036082474
CMP0000039,368,203,23512260.84,55.16304347826087,63892.01315217391,115823.94502463054
CMP0000020,372,209,23504790.89,56.18279569892473,63184.921747311826,112463.1143062201
CMP0000032,383,207,23433657.61,54.04699738903395,61184.48462140992,113206.07541062802
CMP0000110,386,210,23387324.37,54.40414507772021,60588.92323834197,111368.2112857143
CMP0000003,384,208,23362065.71,54.166666666666664,60838.71278645834,112317.62360576923
CMP0000112,375,222,23280131.75,59.199999999999996,62080.35133333333,104865.45833333333
CMP0000025,354,200,23231853.46,56.49717514124294,65626.70468926553,116159.2673
CMP0000068,363,210,23224917.03,57.85123966942148,63980.487685950415,110594.84300000001
CMP0000083,357,194,23189406.94,54.34173669467787,64956.32196078432,119533.02546391753
CMP0000004,364,222,23056072.54,60.98901098901099,63340.85862637362,103856.18261261261
CMP0000081,354,201,23013230.12,56.779661016949156,65009.12463276836,114493.68218905473
CMP0000047,379,203,22941020.88,53.562005277044854,60530.39810026385,113009.95507389162
CMP0000021,395,233,22873748.89,58.9873417721519,57908.225037974684,98170.5960944206
CMP0000066,369,207,22742057.55,56.09756097560976,61631.592276422765,109865.01231884059
CMP0000100,366,205,22614565.07,56.01092896174863,61788.42915300547,110314.9515609756
CMP0000012,360,196,22604318.77,54.44444444444444,62789.77436111111,115328.15698979591
CMP0000035,378,204,22586348.92,53.96825396825397,59752.245820105825,110717.39666666668
CMP0000071,362,193,22586073.61,53.31491712707182,62392.4685359116,117026.28813471503
CMP0000086,351,200,22560678.12,56.98005698005698,64275.436239316245,112803.3906
CMP0000076,382,212,22537655.43,55.497382198952884,58999.09798429319,106309.6954245283
CMP0000045,367,205,22531634.48,55.858310626703,61394.09940054496,109910.41209756098
CMP0000031,370,207,22489853.73,55.945945945945944,60783.388459459464,108646.6363768116
CMP0000080,361,204,22475867.56,56.50969529085873,62260.020941828254,110175.821372549
CMP0000119,389,205,22453011.35,52.69922879177378,57719.82352185091,109526.88463414635
CMP0000018,375,207,22447242.35,55.2,59859.312933333335,108440.78429951692
CMP0000094,355,197,22430949.96,55.49295774647888,63185.77453521127,113862.69015228427
CMP0000118,344,198,22229882.2,57.55813953488372,64621.75058139535,112272.13232323232
CMP0000078,373,199,22167223.12,53.35120643431635,59429.5526005362,111393.08100502513
CMP0000022,364,199,22148994.46,54.670329670329664,60848.885879120884,111301.47969849246
CMP0000069,374,215,22135136.99,57.48663101604278,59184.85826203208,102954.12553488371
CMP0000001,378,212,22134602.56,56.08465608465608,58557.149629629625,104408.50264150943
CMP0000097,359,201,22087489.35,55.98885793871866,61525.03997214485,109888.00671641792
CMP0000089,366,211,22028438.330000002,57.650273224043715,60186.9899726776,104400.18165876777
CMP0000008,368,209,22016063.61,56.79347826086957,59826.259809782605,105340.01727272727
CMP0000072,360,211,21925867.09,58.611111111111114,60905.18636111111,103914.06203791469
CMP0000067,370,206,21909135.73,55.67567567567567,59213.880351351356,106355.02781553398
CMP0000054,356,198,21893903.81,55.61797752808989,61499.729803370785,110575.27176767676
CMP0000017,394,223,21821946.36,56.598984771573605,55385.65065989848,97856.26170403587
CMP0000028,360,200,21778890.85,55.55555555555556,60496.91902777778,108894.45425000001
CMP0000062,367,202,21755961.6,55.04087193460491,59280.549318801095,107702.78019801981
CMP0000120,351,209,21741095.64,59.54415954415955,61940.44341880342,104024.38105263158
CMP0000034,357,201,21713161.15,56.30252100840336,60821.17969187674,108025.67736318408
CMP0000055,347,196,21706150.35,56.48414985590778,62553.74740634006,110745.66505102042
CMP0000098,337,190,21660047.21,56.37982195845698,64273.137121661726,114000.24847368422
CMP0000077,370,197,21614212.29,53.24324324324324,58416.78997297297,109716.81365482233
CMP0000038,361,206,21598787.77,57.06371191135734,59830.43703601108,104848.48432038835
CMP0000087,372,203,21571262.67,54.56989247311827,57987.265241935485,106262.37768472907
CMP0000085,376,205,21482964.06,54.52127659574468,57135.54271276596,104794.94663414634
CMP0000033,351,196,21369916.16,55.84045584045584,60882.95202279202,109030.18448979592
CMP0000058,381,201,21360388.06,52.75590551181102,56064.01065616798,106270.58736318407
CMP0000113,345,194,21221740.330000002,56.231884057971016,61512.29081159421,109390.41407216496
CMP0000102,360,197,21181160.29,54.72222222222223,58836.55636111111,107518.58015228427
CMP0000073,345,191,21180883.21,55.362318840579704,61393.864376811594,110894.6764921466
CMP0000061,364,196,21154368.46,53.84615384615385,58116.39686813187,107930.45132653062
CMP0000052,375,204,21131673.07,54.400000000000006,56351.12818666667,103586.63269607844
CMP0000030,386,220,21060568.36,56.994818652849744,54561.05792746114,95729.85618181818
CMP0000101,368,202,21039599.97,54.891304347826086,57172.82600543478,104156.4354950495
CMP0000059,376,198,20893480.07,52.659574468085104,55567.766143617024,105522.62661616162
CMP0000117,356,196,20880938.91,55.0561797752809,58654.322780898874,106535.40260204082
CMP0000048,345,194,20758635.08,56.231884057971016,60169.956753623184,107003.27360824741
CMP0000106,369,198,20738201.17,53.65853658536586,56201.08718157182,104738.38974747475
CMP0000107,369,192,20643814.75,52.03252032520326,55945.29742547425,107519.86848958333
CMP0000050,369,195,20611725.18,52.84552845528455,55858.33382113821,105701.15476923076
CMP0000009,337,189,20346653.04,56.083086053412465,60375.825044510384,107654.24888888889
CMP0000037,352,191,20023353.33,54.26136363636363,56884.52650568181,104834.31062827224
CMP0000105,343,180,18856269.76,52.47813411078717,54974.54740524782,104757.05422222223
CMP0000053,328,173,18766871.0,52.743902439024396,57216.07012195122,108479.02312138729
CMP0000011,345,187,18035866.98,54.20289855072464,52277.87530434783,96448.48652406417
