campaign_id,targeted_accounts,paying_accounts,conversion_rate_pct,total_recovered,avg_recovery_per_target,investment_score,priority,recommended_investment_cr
CMP0000084,375,214,57.06666666666666,23670359.330000002,63120.95821333334,0.4978250382438303,MEDIUM,0.09
CMP0000114,392,224,57.14285714285714,24211585.81,61764.24951530612,0.4922241799068,MEDIUM,0.09
CMP0000049,377,215,57.02917771883289,23622050.81,62657.95970822281,0.4881548687210461,MEDIUM,0.09
CMP0000086,351,200,56.98005698005698,22560678.12,64275.436239316245,0.4869225007597507,MEDIUM,0.09
CMP0000072,360,211,58.611111111111114,21925867.09,60905.18636111111,0.48305504594541904,MEDIUM,0.09
CMP0000109,397,227,57.17884130982368,24169013.43,60879.12702770781,0.47900232425929945,MEDIUM,0.09
CMP0000021,395,233,58.9873417721519,22873748.89,57908.225037974684,0.4729943722736756,MEDIUM,0.09
CMP0000029,401,222,55.36159600997507,25183794.01,62802.47882793018,0.4621359498505573,MEDIUM,0.08
CMP0000020,372,209,56.18279569892473,23504790.89,63184.921747311826,0.46114015704889055,MEDIUM,0.08
CMP0000027,390,221,56.666666666666664,23729612.05,60845.1591025641,0.4488022884505811,MEDIUM,0.08
CMP0000006,390,216,55.38461538461539,24464888.01,62730.48207692308,0.44548174582310995,MEDIUM,0.08
CMP0000056,382,213,55.75916230366492,23897776.93,62559.625471204185,0.44425113961769347,MEDIUM,0.08
CMP0000098,337,190,56.37982195845698,21660047.21,64273.137121661726,0.44329414046761745,MEDIUM,0.08
CMP0000089,366,211,57.650273224043715,22028438.330000002,60186.9899726776,0.4375035696348459,MEDIUM,0.08
CMP0000080,361,204,56.50969529085873,22475867.56,62260.020941828254,0.4359193466787105,MEDIUM,0.08
CMP0000016,386,210,54.40414507772021,24719014.1,64038.89663212436,0.43384540647441827,MEDIUM,0.08
CMP0000039,368,203,55.16304347826087,23512260.84,63892.01315217391,0.43310250382116233,MEDIUM,0.08
CMP0000013,390,219,56.15384615384615,23652236.91,60646.76130769231,0.4243185854654502,MEDIUM,0.08
CMP0000055,347,196,56.48414985590778,21706150.35,62553.74740634006,0.42187331102207254,MEDIUM,0.08
CMP0000069,374,215,57.48663101604278,22135136.99,59184.85826203208,0.4182377951627203,MEDIUM,0.08
CMP0000066,369,207,56.09756097560976,22742057.55,61631.592276422765,0.41652546007881863,MEDIUM,0.08
CMP0000075,359,194,54.038997214484674,23515362.81,65502.403370473534,0.41487501601941473,MEDIUM,0.08
CMP0000100,366,205,56.01092896174863,22614565.07,61788.42915300547,0.41270559276922014,MEDIUM,0.08
CMP0000060,388,214,55.154639175257735,23999529.35,61854.45708762887,0.4125421060855739,MEDIUM,0.08
CMP0000083,357,194,54.34173669467787,23189406.94,64956.32196078432,0.4106247250763879,MEDIUM,0.07
CMP0000094,355,197,55.49295774647888,22430949.96,63185.77453521127,0.410166960148181,MEDIUM,0.07
CMP0000096,383,212,55.35248041775457,23537524.59,61455.67778067885,0.40342931048559755,MEDIUM,0.07
CMP0000038,361,206,57.06371191135734,21598787.77,59830.43703601108,0.39970751556617345,MEDIUM,0.07
CMP0000045,367,205,55.858310626703,22531634.48,61394.09940054496,0.39888769039059946,MEDIUM,0.07
CMP0000008,368,209,56.79347826086957,22016063.61,59826.259809782605,0.39881828689232235,LOW,0.07
CMP0000097,359,201,55.98885793871866,22087489.35,61525.03997214485,0.39575937996293487,LOW,0.07
CMP0000041,400,224,56.00000000000001,23633002.53,59082.506325,0.3938953654024041,LOW,0.07
CMP0000031,370,207,55.945945945945944,22489853.73,60783.388459459464,0.39188937441240007,LOW,0.07
CMP0000034,357,201,56.30252100840336,21713161.15,60821.17969187674,0.3883931119411819,LOW,0.07
CMP0000113,345,194,56.231884057971016,21221740.330000002,61512.29081159421,0.3850965518444135,LOW,0.07
CMP0000054,356,198,55.61797752808989,21893903.81,61499.729803370785,0.3767269441926446,LOW,0.07
CMP0000012,360,196,54.44444444444444,22604318.77,62789.77436111111,0.3678329673658759,LOW,0.07
CMP0000033,351,196,55.84045584045584,21369916.16,60882.95202279202,0.3637856764464945,LOW,0.07
CMP0000028,360,200,55.55555555555556,21778890.85,60496.91902777778,0.35626487093024684,LOW,0.06
CMP0000001,378,212,56.08465608465608,22134602.56,58557.149629629625,0.35481095120583395,LOW,0.06
CMP0000048,345,194,56.231884057971016,20758635.08,60169.956753623184,0.3538453910896352,LOW,0.06
CMP0000005,394,210,53.299492385786806,24381369.51,61881.648502538075,0.3505629917535551,LOW,0.06
CMP0000110,386,210,54.40414507772021,23387324.37,60588.92323834197,0.3502935152060621,LOW,0.06
CMP0000073,345,191,55.362318840579704,21180883.21,61393.864376811594,0.3490016556817378,LOW,0.06
CMP0000076,382,212,55.497382198952884,22537655.43,58999.09798429319,0.3483110463573431,LOW,0.06
CMP0000018,375,207,55.2,22447242.35,59859.312933333335,0.34808886090312485,LOW,0.06
CMP0000032,383,207,54.04699738903395,23433657.61,61184.48462140992,0.34682991176725675,LOW,0.06
CMP0000003,384,208,54.166666666666664,23362065.71,60838.71278645834,0.34445786845890897,LOW,0.06
CMP0000067,370,206,55.67567567567567,21909135.73,59213.880351351356,0.34409093763982335,LOW,0.06
CMP0000009,337,189,56.083086053412465,20346653.04,60375.825044510384,0.34189608413706796,LOW,0.06
CMP0000022,364,199,54.670329670329664,22148994.46,60848.885879120884,0.33620352200781756,LOW,0.06
CMP0000017,394,223,56.598984771573605,21821946.36,55385.65065989848,0.3185519778597057,LOW,0.06
CMP0000071,362,193,53.31491712707182,22586073.61,62392.4685359116,0.3179942288118141,LOW,0.06
CMP0000062,367,202,55.04087193460491,21755961.6,59280.549318801095,0.31727979542165724,LOW,0.06
CMP0000047,379,203,53.562005277044854,22941020.88,60530.39810026385,0.3069072839665476,LOW,0.06
CMP0000030,386,220,56.994818652849744,21060568.36,54561.05792746114,0.3036323299118735,LOW,0.06
CMP0000035,378,204,53.96825396825397,22586348.92,59752.245820105825,0.30239587880860525,LOW,0.06
CMP0000117,356,196,55.0561797752809,20880938.91,58654.322780898874,0.2882287257285242,LOW,0.05
CMP0000102,360,197,54.72222222222223,21181160.29,58836.55636111111,0.2850917786202244,LOW,0.05
CMP0000070,390,202,51.7948717948718,24007297.63,61557.17341025641,0.2793339433141897,LOW,0.05
CMP0000087,372,203,54.56989247311827,21571262.67,57987.265241935485,0.27508928885405315,LOW,0.05
CMP0000078,373,199,53.35120643431635,22167223.12,59429.5526005362,0.2641928896196422,LOW,0.05
CMP0000101,368,202,54.891304347826086,21039599.97,57172.82600543478,0.26272212102134135,LOW,0.05
CMP0000085,376,205,54.52127659574468,21482964.06,57135.54271276596,0.25809335233307756,LOW,0.05
CMP0000061,364,196,53.84615384615385,21154368.46,58116.39686813187,0.23980385151231642,LOW,0.04
CMP0000052,375,204,54.400000000000006,21131673.07,56351.12818666667,0.23333828193077982,LOW,0.04
CMP0000077,370,197,53.24324324324324,21614212.29,58416.78997297297,0.2318226418812918,LOW,0.04
CMP0000119,389,205,52.69922879177378,22453011.35,57719.82352185091,0.21940241739891436,LOW,0.04
CMP0000037,352,191,54.26136363636363,20023353.33,56884.52650568181,0.21090922123029174,LOW,0.04
CMP0000106,369,198,53.65853658536586,20738201.17,56201.08718157182,0.19361000875304832,LOW,0.04
CMP0000058,381,201,52.75590551181102,21360388.06,56064.01065616798,0.17111188727120147,LOW,0.03
CMP0000050,369,195,52.84552845528455,20611725.18,55858.33382113821,0.15427284234490662,LOW,0.03
CMP0000059,376,198,52.659574468085104,20893480.07,55567.766143617024,0.14910822368977814,LOW,0.03
CMP0000053,328,173,52.743902439024396,18766871.0,57216.07012195122,0.12912435584106036,LOW,0.02
CMP0000107,369,192,52.03252032520326,20643814.75,55945.29742547425,0.1251756802415188,LOW,0.02
CMP0000011,345,187,54.20289855072464,18035866.98,52277.87530434783,0.09232002137037519,LOW,0.02
CMP0000105,343,180,52.47813411078717,18856269.76,54974.54740524782,0.08646449400372613,LOW,0.02
