campaign_id,pre_recovery,post_recovery,accounts,absolute_uplift,improvement_pct
CMP0000038,2696088.71,3266605.13,74,570516.4199999999,21.16089199453678
CMP0000004,2810449.19,3375527.92,75,565078.73,20.106349262980274
CMP0000094,2809653.62,3367910.75,71,558257.1299999999,19.86925100041335
CMP0000006,3444455.09,3994715.62,80,550260.5300000003,15.975256335828734
CMP0000083,2211123.65,2759493.81,63,548370.1600000001,24.80051986237858
CMP0000109,3098278.47,3617474.94,84,519196.46999999974,16.757579250131112
CMP0000119,2367128.43,2879857.59,64,512729.1599999997,21.660386208956126
CMP0000098,2412527.5,2887084.15,54,474556.6499999999,19.670517745393575
CMP0000057,2601123.15,3042885.2800000003,73,441762.13000000035,16.983514602144094
CMP0000005,3299664.94,3720630.33,81,420965.39000000013,12.757822313922581
CMP0000011,2149708.82,2568822.9,54,419114.0800000001,19.496318575833918
CMP0000026,2331291.89,2748403.66,68,417111.77,17.891872390119282
CMP0000054,3496224.54,3912993.31,82,416768.77,11.920537861106599
CMP0000044,3349913.17,3748563.19,82,398650.02,11.900309045920734
CMP0000053,2054901.6,2452925.15,55,398023.5499999998,19.36947005151
CMP0000029,2593408.12,2982721.83,70,389313.70999999996,15.011663879574803
CMP0000088,3490712.9,3855219.5100000002,75,364506.61000000034,10.442182455050954
CMP0000075,2565465.18,2912590.0,63,347124.81999999983,13.530677504654335
CMP0000049,2725173.4,3050640.93,74,325467.53000000026,11.943002599394235
CMP0000040,3378779.78,3697834.45,77,319054.6700000004,9.442896275412197
CMP0000110,3017513.86,3325437.36,80,307923.5,10.20454302072369
CMP0000059,2626847.57,2860951.64,67,234104.0700000003,8.91197771327098
CMP0000039,2780495.04,2979359.13,62,198864.08999999985,7.152110942086049
CMP0000114,3051176.7,3242830.15,77,191653.44999999972,6.2812963274136075
CMP0000062,2869500.51,3052810.1,65,183309.59000000032,6.3882055208277455
CMP0000052,2971436.98,3146880.08,73,175443.1000000001,5.904318388068257
CMP0000095,2682023.23,2841306.71,69,159283.47999999998,5.938929917471296
CMP0000060,3470442.94,3624952.05,79,154509.10999999987,4.45214379464772
CMP0000023,2945695.7199999997,3094286.32,74,148590.6000000001,5.044329561642575
CMP0000101,2662237.01,2810567.66,62,148330.65000000037,5.571654568801911
CMP0000028,2699359.79,2797764.81,68,98405.02000000002,3.6454947711879493
CMP0000097,2972611.18,3061326.29,70,88715.10999999987,2.9844168856284754
CMP0000043,2273631.55,2356808.88,53,83177.33000000007,3.658346929606958
CMP0000080,3193124.07,3272367.9899999998,72,79243.91999999993,2.4817050093515447
CMP0000015,3611754.58,3688955.46,79,77200.87999999989,2.137489640838218
CMP0000100,2715973.77,2787778.33,72,71804.56000000006,2.64378694644021
CMP0000072,3028706.99,3077056.61,75,48349.619999999646,1.5963782617347095
CMP0000031,3171577.09,3209669.43,81,38092.34000000032,1.201053574264541
CMP0000071,2563132.54,2588600.32,59,25467.779999999795,0.9936193155270775
CMP0000104,3363772.67,3366445.39,73,2672.720000000205,0.07945602340601111
CMP0000030,2916405.71,2848996.52,68,-67409.18999999994,-2.31137902963439
CMP0000084,2995557.8200000003,2927142.91,73,-68414.91000000015,-2.283878800242959
CMP0000073,2815566.93,2745470.06,68,-70096.87000000011,-2.489618316407776
CMP0000099,3464239.46,3261153.95,85,-203085.50999999978,-5.86234041684866
CMP0000068,2826613.28,2609946.18,71,-216667.09999999963,-7.66525444188105
CMP0000108,3326850.4,3100894.0300000003,80,-225956.36999999965,-6.791900531505704
CMP0000085,2650667.43,2412178.39,66,-238489.04000000004,-8.99732034659663
CMP0000066,2711654.33,2469834.6,59,-241819.72999999998,-8.917793367858948
CMP0000058,2975398.7600000002,2700598.64,70,-274800.1200000001,-9.235740892760205
CMP0000064,4037929.23,3729655.78,76,-308273.4500000002,-7.634444103419816
CMP0000016,3291806.73,2977432.54,66,-314374.18999999994,-9.55020193424296
CMP0000107,2975986.23,2657285.7600000002,74,-318700.46999999974,-10.70907072039778
CMP0000045,2949332.32,2622454.91,71,-326877.4099999997,-11.083098631625198
CMP0000020,3145704.62,2813645.31,69,-332059.31000000006,-10.55595963743093
CMP0000063,3266776.17,2930410.5,67,-336365.6699999999,-10.296563109801305
CMP0000081,3130317.86,2777881.96,73,-352435.8999999999,-11.258789546694786
CMP0000079,3239402.46,2880305.08,80,-359097.3799999999,-11.08529688527803
CMP0000113,2424564.14,2047694.08,57,-376870.06000000006,-15.543827188667406
CMP0000065,3361302.27,2970774.5300000003,77,-390527.73999999976,-11.61834636192953
CMP0000001,2978131.41,2573711.77,75,-404419.64000000013,-13.579643888178866
CMP0000091,3792095.56,3360899.61,79,-431195.9500000002,-11.370914661232856
CMP0000051,3050546.35,2610926.67,71,-439619.68000000017,-14.41117850905626
CMP0000111,3529550.05,3085557.67,78,-443992.3799999999,-12.57929123288675
CMP0000106,2821838.69,2372638.2199999997,69,-449200.4700000002,-15.918715396166045
CMP0000117,2928507.87,2476647.02,67,-451860.8500000001,-15.429729748344506
CMP0000056,3802261.66,3336813.2199999997,79,-465448.4400000004,-12.24135742409691
CMP0000033,3315295.15,2788564.98,71,-526730.1699999999,-15.88788165663018
CMP0000008,2991223.88,2438700.79,59,-552523.0899999999,-18.471472285785573
CMP0000105,2835339.98,2258696.04,63,-576643.94,-20.337735300441818
CMP0000115,3643765.93,3062602.6,80,-581163.3300000001,-15.949524233023388
CMP0000078,2962585.3,2374880.83,63,-587704.4699999997,-19.83755438197846
CMP0000037,2969764.63,2374840.11,63,-594924.52,-20.032716195424552
CMP0000017,3165073.65,2551906.82,70,-613166.8300000001,-19.37290874732094
CMP0000025,3463719.71,2822520.65,75,-641199.06,-18.511863363216534
CMP0000090,3563017.61,2919420.09,78,-643597.52,-18.06327081274235
CMP0000048,2964135.9899999998,2310079.32,68,-654056.6699999999,-22.065676885492692
CMP0000103,4074874.32,3398029.61,87,-676844.71,-16.610198422021515
CMP0000013,3184415.6999999997,2484310.7600000002,77,-700104.9399999995,-21.985350091070067
CMP0000018,3842077.67,3139909.25,78,-702168.4199999999,-18.275747663372975
CMP0000067,2868890.86,2144373.51,72,-724517.3500000001,-25.254266730802026
CMP0000070,3157235.87,2374400.73,74,-782835.1400000001,-24.794952681188185
CMP0000120,2853290.79,2026306.21,62,-826984.5800000001,-28.983536585137195
CMP0000010,3312428.36,2475311.64,74,-837116.7199999997,-25.271994712664508
CMP0000021,3614116.9699999997,2707950.08,81,-906166.8899999997,-25.07298179671257
CMP0000042,3751280.91,2787055.08,77,-964225.8300000001,-25.703908961592536
CMP0000007,4013012.75,3030906.86,74,-982105.8900000001,-24.473031888572997
CMP0000092,4023002.03,3037496.07,79,-985505.96,-24.49678008241025
CMP0000002,3432839.01,2445260.26,68,-987578.75,-28.76857164356216
CMP0000087,4055743.16,2976917.87,78,-1078825.29,-26.599941057411534
CMP0000074,3543993.89,2448451.25,75,-1095542.6400000001,-30.91265600347861
CMP0000009,3444725.18,2301552.4,64,-1143172.7800000003,-33.18618235896543
CMP0000086,3309664.35,2162001.69,66,-1147662.6600000001,-34.67610423999643
CMP0000055,3886553.96,2515178.12,81,-1371375.8399999999,-35.28513572985359
